Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,CDR Method,Total price (USD),Purchaser,Status,Supplier,Tons Delivered,Tons Purchased
2023-12-29 00:00:00,Data partner submission through Portal,,Carbonfuture,Biochar,,Aggregate Purchase,delivered,Pacific Biochar,"1860,18","1860,18"
2023-12-29 00:00:00,Data partner submission through Portal,,Carbonfuture,Biochar,,Aggregate Purchase,delivered,Pacific Biochar,2000,2000
2023-12-27 00:00:00,Data partner submission through Portal,,Carbonfuture,Biochar,,Aggregate Purchase,delivered,Pacific Biochar,"894,31","894,31"
2023-12-18 00:00:00,Data partner submission through Portal,,Carbonx,DAC,,Carbonx Climate,undelivered,Carbon Capture,0,1872
2023-12-15 00:00:00,patch order id: ord_prod_050cc76d7d9999705926c112abe292c5,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,3"
2023-12-15 00:00:00,patch order id: ord_prod_9d972eabf7ebe785d9677726f530dc81,,Patch,DAC,,Aggregate Purchase,undelivered,Holy Grail,0,12
2023-12-15 00:00:00,patch order id: ord_prod_047f5b3f29edabb3eda58fe334612045,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,96"
2023-12-15 00:00:00,patch order id: ord_prod_dbbd5e37c8762ba7b704d4481091fcd2,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,27
2023-12-15 00:00:00,patch order id: ord_prod_cdcadf0080e8b72ea0b4ad60dd3fc673,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_70dbdfdaea68056fd36a5070985cedb3,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_36d1d6fa60bfa493febda2353885e59f,,Patch,DAC,,Aggregate Purchase,undelivered,AspiraDAC,0,"0,22"
2023-12-15 00:00:00,patch order id: ord_prod_9ec561096e6377d2ae3f54b8185183aa,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"7,42","7,42"
2023-12-15 00:00:00,patch order id: ord_prod_a6663f7157557e7b6df91c4bccfffc6a,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,29","0,29"
2023-12-15 00:00:00,patch order id: ord_prod_08f301e2f314da80fa26e6987e485fea,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,"2,2"
2023-12-15 00:00:00,patch order id: ord_prod_0e2e7c335a850d305f8cceecc517f111,,Patch,Biochar,,Aggregate Purchase,undelivered,Ecoera,0,"0,58"
2023-12-15 00:00:00,patch order id: ord_prod_9adecec9299eda5484e657f1aa4a5da0,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"89,55","89,55"
2023-12-15 00:00:00,patch order id: ord_prod_5c48f22b529b8f5f737c3ffaf283df5b,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,240
2023-12-15 00:00:00,patch order id: ord_prod_ec3e8e380ec50a6612aaecc3320d6026,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,"25,35"
2023-12-15 00:00:00,patch order id: ord_prod_92b361220b88a6599b4b383420fac803,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,Eion,0,"1,11"
2023-12-15 00:00:00,patch order id: ord_prod_440884b7c6e60d11aac14142510973cd,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"9,87"
2023-12-15 00:00:00,patch order id: ord_prod_7f8e0b6c2d64c68071a39c7476961557,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,1,1
2023-12-15 00:00:00,patch order id: ord_prod_ae57e9b90811c8e5779ddae26dbcea1a,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,10
2023-12-15 00:00:00,patch order id: ord_prod_4b24e4e3e774843e6e42bba28a76036a,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,13,13
2023-12-15 00:00:00,patch order id: ord_prod_b8207ba66f925f5521c38d3b7818b202,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_c183152694970c572f28fb0ca167772c,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,4,4
2023-12-15 00:00:00,patch order id: ord_prod_eb7d8cefa7f2dea0b8f5a04be9e91df5,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,31","0,31"
2023-12-15 00:00:00,patch order id: ord_prod_893f39a36762e4c3438d68277b8da626,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,628
2023-12-15 00:00:00,patch order id: ord_prod_db09fef92e59a22b3a428dd947b65800,,Patch,Biochar,,Aggregate Purchase,undelivered,Mash makes,0,10
2023-12-15 00:00:00,patch order id: ord_prod_7f7b5cbea1cfcbc6a25d448e911c7de4,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"0,18"
2023-12-15 00:00:00,patch order id: ord_prod_df28837103b98e8a4631e7b144635ca8,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,57","0,57"
2023-12-15 00:00:00,patch order id: ord_prod_71ef95d889d9cd6921a26cf0a0ba1c31,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"31,13","31,13"
2023-12-15 00:00:00,patch order id: ord_prod_32986c7addec0592a5a851975c60682d,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonCure,0,1
2023-12-15 00:00:00,patch order id: ord_prod_13a33e7061c4cd1b382bee0c5d450dda,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,21
2023-12-15 00:00:00,patch order id: ord_prod_3824b4c723e009feaad8da6e847270d3,,Patch,Bio-oil,,Aggregate Purchase,undelivered,Charm Industrial,0,"0,54"
2023-12-15 00:00:00,patch order id: ord_prod_8e81a95256763283d24e965ce7860aef,,Patch,Biochar,,Aggregate Purchase,undelivered,Dutch Carboneers,0,16
2023-12-15 00:00:00,patch order id: ord_prod_2b3143c0a582d73fc9f52f08b17b53c7,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"4,95","4,95"
2023-12-15 00:00:00,patch order id: ord_prod_5a58391a44c73712d41b693454f6d9ac,,Patch,Biochar,,Aggregate Purchase,delivered,Husk,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_0a502407f6a9d2517fcacaaff2bc076b,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,84
2023-12-15 00:00:00,patch order id: ord_prod_dfe619b5b82f14bc4e8a3a2514faef57,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,"0,25"
2023-12-15 00:00:00,patch order id: ord_prod_0c3dc3cdb958ff80c3cfd20c63c5b29c,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,15","0,15"
2023-12-15 00:00:00,patch order id: ord_prod_4750d6a17af8beee275d6fed26c1f69c,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,Eion,0,"0,9"
2023-12-15 00:00:00,patch order id: ord_prod_630689f33e7c0fc5e1fa68f5fd35d73c,,Patch,Biochar,,Aggregate Purchase,undelivered,Terra Preta,0,"0,6"
2023-12-15 00:00:00,patch order id: ord_prod_67b0d7fbfb08c3990c0ac935e50bb461,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,1
2023-12-15 00:00:00,patch order id: ord_prod_e5a4d852dbb0fd1bf19e5b5f54b23c3e,,Patch,Bio-oil,,Aggregate Purchase,undelivered,Charm Industrial,0,"0,17"
2023-12-15 00:00:00,patch order id: ord_prod_c79c148a2376d06a8cd2ecf97e6ccc12,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,5,5
2023-12-15 00:00:00,patch order id: ord_prod_d467399880486fb80a34260bad355337,,Patch,Biomass Removal,,Aggregate Purchase,undelivered,Carbon Lockdown,0,8
2023-12-15 00:00:00,patch order id: ord_prod_0576664c708b01ace7c1cc124909504b,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,53
2023-12-15 00:00:00,patch order id: ord_prod_4f6f5651ad39f642d7dc0d8445e36e4c,,Patch,Biochar,,Aggregate Purchase,undelivered,Husk,0,1
2023-12-15 00:00:00,patch order id: ord_prod_0778314085720b17c6447e4002cdfee9,,Patch,Mineralization,,Aggregate Purchase,undelivered,Neustark,0,"26,08"
2023-12-15 00:00:00,patch order id: ord_prod_574040b7de5fd6bb980ca441b3e9e32d,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,15","0,15"
2023-12-15 00:00:00,patch order id: ord_prod_456297b9d7dc27459a9c770d0b563635,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonBuilt,0,3
2023-12-15 00:00:00,patch order id: ord_prod_74bf870cb07a793f6005ba1fead19fc7,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonCure,0,1
2023-12-15 00:00:00,patch order id: ord_prod_6484be1afa2a3c10a24404382ce8f60d,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"2,47","2,47"
2023-12-15 00:00:00,patch order id: ord_prod_4e03510fddd47b8dc47f371b8c4d76e0,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"22,5","22,5"
2023-12-15 00:00:00,patch order id: ord_prod_556f49e387abdac1a734cf0ab9e048a4,,Patch,Bio-oil,,Aggregate Purchase,delivered,Charm Industrial,"0,16","0,16"
2023-12-15 00:00:00,patch order id: ord_prod_596836617a3cb30e38327d9dab18d7af,,Patch,Biochar,,Aggregate Purchase,undelivered,Mash makes,0,1
2023-12-15 00:00:00,patch order id: ord_prod_d7b76bd133cf7c717ce6c714330e87d1,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,2
2023-12-15 00:00:00,patch order id: ord_prod_47e1fe991d7a8123fa90c13f8c78bcbd,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_45850f9a9dea40c69e8bc45069f27275,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"4,35","4,35"
2023-12-15 00:00:00,patch order id: ord_prod_5301e213f0e5f15d2f411080d90fb44f,,Patch,Biochar,,Aggregate Purchase,delivered,Novocarbo,"0,33","0,33"
2023-12-15 00:00:00,patch order id: ord_prod_3dfe391191d6fff6e98b6916ec7119bb,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,1
2023-12-15 00:00:00,patch order id: ord_prod_4818fd083ad609cf4a6a76b4b38f77b6,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,9,9
2023-12-15 00:00:00,patch order id: ord_prod_b7bccec42d4b43d2ee7310c08e44edb9,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"2,01","2,01"
2023-12-15 00:00:00,patch order id: ord_prod_4ad56fc332f6dd45b53206702d5f36d3,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonCure,0,"0,77"
2023-12-15 00:00:00,patch order id: ord_prod_5c48f22b529b8f5f737c3ffaf283df5b,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,Project Vesta,0,80
2023-12-15 00:00:00,patch order id: ord_prod_9dde92abf2abb8b3182f70b6a6da870a,,Patch,Bio-oil,,Aggregate Purchase,delivered,Charm Industrial,"0,4","0,4"
2023-12-15 00:00:00,patch order id: ord_prod_2cf955f1f2ff9e0414e01badb673dd26,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"2,03"
2023-12-15 00:00:00,patch order id: ord_prod_4b7e99992628fc3d8b9d8fdd70f72f3d,,Patch,Biomass Removal,,Aggregate Purchase,undelivered,Carbon Lockdown,0,16
2023-12-15 00:00:00,patch order id: ord_prod_6f7116498f7a51db653edd1ed3c67b81,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,19"
2023-12-15 00:00:00,patch order id: ord_prod_ec3e8e380ec50a6612aaecc3320d6026,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"43,92"
2023-12-15 00:00:00,patch order id: ord_prod_b78700d55908c4965a331d24f318568b,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,8"
2023-12-15 00:00:00,patch order id: ord_prod_f59c4aef1e8ba9921bf93e5cdfdac166,,Patch,Bio-oil,,Aggregate Purchase,undelivered,Charm Industrial,0,4
2023-12-15 00:00:00,patch order id: ord_prod_ee92d60987deafd04959a6df8fe8e583,,Patch,Biochar,,Aggregate Purchase,undelivered,Mash makes,0,1
2023-12-15 00:00:00,patch order id: ord_prod_6145f66efa98a2fe0e0fe613a1e60833,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"2,23"
2023-12-15 00:00:00,patch order id: ord_prod_b2651d6543d7c13e830fa81a5085549e,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,"0,19"
2023-12-15 00:00:00,patch order id: ord_prod_b06df1488f34ab617d862dbd297bf8fd,,Patch,Biochar,,Aggregate Purchase,undelivered,Dutch Carboneers,0,2
2023-12-15 00:00:00,patch order id: ord_prod_ace6ac69dd5a6dc54519079c67467bb6,,Patch,Bio-oil,,Aggregate Purchase,delivered,Charm Industrial,"1,9","1,9"
2023-12-15 00:00:00,patch order id: ord_prod_7c8b3b02cc5821cac5b58f2a01c1ff2d,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,93","0,93"
2023-12-15 00:00:00,patch order id: ord_prod_ca9ebb3ef3504bf93e487ba0627fcfdb,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,28"
2023-12-15 00:00:00,patch order id: ord_prod_a60c39e3a00b4e780ee1ecc3123250f7,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,9
2023-12-15 00:00:00,patch order id: ord_prod_932fca874f3d5486e5d1f5bd76617268,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,"0,22"
2023-12-15 00:00:00,patch order id: ord_prod_1e3b5ebdefa699bee57cc508865ab749,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,1,1
2023-12-15 00:00:00,patch order id: ord_prod_e8ccbd93e393f258e41970e7ee965de4,,Patch,Biomass Removal,,Aggregate Purchase,undelivered,Levitree,0,10
2023-12-15 00:00:00,patch order id: ord_prod_33af7042b8b61fac3d9042a94eb9ac3a,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,5
2023-12-15 00:00:00,patch order id: ord_prod_c99d601c5079e658a51fd94fdcf76e48,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,"1,5"
2023-12-15 00:00:00,patch order id: ord_prod_04312ef9bc62c638ad57ab8fe9285cd5,,Patch,Bio-oil,,Aggregate Purchase,undelivered,Charm Industrial,0,2
2023-12-15 00:00:00,patch order id: ord_prod_8559170024b5c43d7ee9686912e0c045,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,1,1
2023-12-15 00:00:00,patch order id: ord_prod_e938d8ca42441fab6aef5918d12949f7,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,6
2023-12-15 00:00:00,patch order id: ord_prod_b93157854fdcce94e4e5c7bf1333dc8c,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,19","0,19"
2023-12-15 00:00:00,patch order id: ord_prod_b97dba245f690e4924346eac45231fa4,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"54,38"
2023-12-15 00:00:00,patch order id: ord_prod_89c35ce9b54afc747a5c755c4014a3a3,,Patch,Bio-oil,,Aggregate Purchase,undelivered,Charm Industrial,0,"1,43"
2023-12-15 00:00:00,patch order id: ord_prod_b0812d531053c3a2c3c01f8deabbc575,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,21","0,21"
2023-12-15 00:00:00,patch order id: ord_prod_6563c999ec7b9cd1c871b444e972f8d9,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,22","0,22"
2023-12-15 00:00:00,patch order id: ord_prod_63154b2c263fc400dd23bbb206172868,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,54"
2023-12-15 00:00:00,patch order id: ord_prod_c0460bdbfd809c4f0c06c40065c8b4b4,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonCure,0,1
2023-12-15 00:00:00,patch order id: ord_prod_66d01dd7d107bdf2f68308ea62580609,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"2,47"
2023-12-15 00:00:00,patch order id: ord_prod_2fbce0ac39430d4aa512263f25ef7839,,Patch,Enhanced Weathering,,Aggregate Purchase,delivered,GreenSand,"0,25","0,25"
2023-12-15 00:00:00,patch order id: ord_prod_6b07de9439ea78595ce317d206127bc7,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,2"
2023-12-15 00:00:00,patch order id: ord_prod_9da2ccc12935b857ed315c5201bc1a91,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,18","0,18"
2023-12-15 00:00:00,patch order id: ord_prod_c569dafe22bfed4e5a69e9122c92ee00,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonCure,0,"0,18"
2023-12-15 00:00:00,patch order id: ord_prod_92d2c84d2f626ea220ee714bf1f3def3,,Patch,Biochar,,Aggregate Purchase,undelivered,Husk,0,2
2023-12-15 00:00:00,patch order id: ord_prod_c3ee796baf1a8f9f07c659316a8f4b1d,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,19"
2023-12-15 00:00:00,patch order id: ord_prod_0bfd9f5629a8ebb661c43133d51eaa4c,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"3,2"
2023-12-15 00:00:00,patch order id: ord_prod_956b94f6046423748cda3cec9937bed9,,Patch,Biochar,,Aggregate Purchase,undelivered,Husk,0,4
2023-12-15 00:00:00,patch order id: ord_prod_322856a81bbe5238610b15d8c5f2f56a,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"0,4"
2023-12-15 00:00:00,patch order id: ord_prod_0576664c708b01ace7c1cc124909504b,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,Everest Carbon,0,50
2023-12-15 00:00:00,patch order id: ord_prod_dc50a2cf26d9c5ab36d9ae66d68b260d,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,39","0,39"
2023-12-15 00:00:00,patch order id: ord_prod_1ffd46b7ab2c47ec5aab8be34520492e,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,48","0,48"
2023-12-15 00:00:00,patch order id: ord_prod_86eb500121f141dfabd6a154f8838616,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,1
2023-12-15 00:00:00,patch order id: ord_prod_d2d53d59b489d58c690005c4d775fc97,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,2","0,2"
2023-12-15 00:00:00,patch order id: ord_prod_663c34406571f199118d2638d80fcf63,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,57","0,57"
2023-12-15 00:00:00,patch order id: ord_prod_d520263b4fd41480f877e731c294c5d2,,Patch,Mineralization,,Aggregate Purchase,undelivered,Neustark,0,"0,5"
2023-12-15 00:00:00,patch order id: ord_prod_dcc669d2d857eb5c9514cfc965a2898e,,Patch,Mineralization,,Aggregate Purchase,undelivered,Neustark,0,"10,94"
2023-12-15 00:00:00,patch order id: ord_prod_c4ceff2b220beff87f29ccb6f391a215,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"1,37","1,37"
2023-12-15 00:00:00,patch order id: ord_prod_aaa7e1c0fc161f0321a40766b27b772b,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,"0,21","0,21"
2023-12-15 00:00:00,patch order id: ord_prod_829bd82b14c756df94fe08148a2e2897,,Patch,Macroalgae,,Aggregate Purchase,delivered,Running Tide,"0,37","0,37"
2023-12-15 00:00:00,patch order id: ord_prod_f49b8e36fdd561a0887618f4798d93c7,,Patch,Biochar,,Aggregate Purchase,delivered,Husk,1,1
2023-12-15 00:00:00,patch order id: ord_prod_dbbd5e37c8762ba7b704d4481091fcd2,,Patch,Enhanced Weathering,,Aggregate Purchase,undelivered,GreenSand,0,15
2023-12-15 00:00:00,patch order id: ord_prod_58700403d453c126e7449982094fe29f,,Patch,Biochar,,Aggregate Purchase,undelivered,Ecoera,0,1
2023-12-15 00:00:00,patch order id: ord_prod_55cf7b294fdb2de38422de5369169504,,Patch,DAC,,Aggregate Purchase,undelivered,Carbon Capture,0,"0,19"
2023-12-15 00:00:00,patch order id: ord_prod_0bfd9f5629a8ebb661c43133d51eaa4c,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"3,2"
2023-12-15 00:00:00,patch order id: ord_prod_7c95631bb3ee3eba7e325ac847818d83,,Patch,Biochar,,Aggregate Purchase,undelivered,Carbo Culture,0,"1,01"
2023-12-15 00:00:00,patch order id: ord_prod_0576664c708b01ace7c1cc124909504b,,Patch,Biochar,,Aggregate Purchase,undelivered,Planboo,0,200
2023-12-15 00:00:00,patch order id: ord_prod_45c0d528c57004a59c7c89f5fc6eeb8e,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,8"
2023-12-15 00:00:00,patch order id: ord_prod_b66deb8334e7e8722d7f3a0264e2194e,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,"0,15"
2023-12-15 00:00:00,patch order id: ord_prod_a09b5e082662e35ad5f69a14fc4c7b56,,Patch,Mineralization,,Aggregate Purchase,delivered,CarbonCure,2,2
2023-12-15 00:00:00,patch order id: ord_prod_db09fef92e59a22b3a428dd947b65800,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,10
2023-12-15 00:00:00,patch order id: ord_prod_1a2cac264866ddd4e8fc39a0f64f66e0,,Patch,Macroalgae,,Aggregate Purchase,undelivered,Running Tide,0,50
2023-12-15 00:00:00,patch order id: ord_prod_a0b7fef79a612ff0afc4de2d981b7e85,,Patch,Mineralization,,Aggregate Purchase,undelivered,Neustark,0,"38,14"
2023-12-15 00:00:00,patch order id: ord_prod_aedc19c4d2a1ab82aae91de928ca9386,,Patch,Mineralization,,Aggregate Purchase,undelivered,CarbonBuilt,0,"2,36"
